Salary,Position,Age,GP,GS,MP,FG,3P,2P,FT,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,VORP
17400000,PF,25,11,0,11.3,2.0,0.5,1.5,0.5,4.0,0.5,1.3,0.4,0.4,0.5,5.0,20.3,0.483,0.283,0.17,13.7,26.5,20.1,7.3,2.75,3.1,6.6,21.1,0.0,0.3,0.3,0.2
17357143,SF,25,67,67,35.6,6.3,2.1,4.2,2.1,5.0,2.0,1.55,0.7,2.0,3.0,16.8,14.6,0.586,0.415,0.189,4.2,12.1,7.9,8.0,2.7,2.0,12.1,19.5,1.8,2.9,4.7,1.5
17207142,PG,28,61,61,32.1,4.1,1.9,2.2,1.4,3.1,6.049999999999999,1.5,0.4,2.3,2.8,11.5,12.1,0.538,0.568,0.196,2.6,8.0,5.3,26.4,2.3,1.0,17.9,17.8,1.0,2.7,3.7,0.5
17142857,SG,28,82,70,28.3,4.3,1.8,2.5,2.0,3.6,3.9,0.7,0.9,1.2,2.2,12.4,15.4,0.604,0.516,0.253,2.5,11.2,6.9,19.4,1.1,2.8,10.1,17.7,4.4,3.1,7.4,2.1500000000000004
17071120,SG,26,74,74,36.4,8.3,1.8,6.5,2.1,5.3,6.049999999999999,1.5,0.3,2.2,1.4,20.5,17.0,0.54,0.293,0.144,2.1,13.8,7.9,24.0,2.0,0.6,10.2,24.4,2.4,2.3,4.7,2.1
17045454,C,24,59,58,27.0,3.2,0.0,3.2,1.0,8.4,0.9,0.9,1.1,0.7,2.7,7.4,18.9,0.652,0.0,0.436,14.6,20.0,19.2,4.5,1.7,4.824999999999999,10.9,10.1,4.0,2.6,6.5,1.7
16902000,SF,28,42,1,16.5,2.1,1.5,0.6,0.7,1.6,1.1,0.3,0.0,0.7,1.8,6.4,7.8,0.534,0.81,0.135,1.3,10.7,5.9,9.7,1.0,0.0,10.0,17.9,-0.1,0.6,0.5,-0.5
16758621,SG,29,60,8,26.1,5.7,1.9,3.8,3.8,2.9,1.8,0.8,0.3,1.7,2.1,17.0,17.1,0.612,0.404,0.39,1.7,10.7,6.3,11.0,1.6,1.0,10.8,26.0,2.1,1.4,3.5,0.9
16700000,PG,24,48,15,23.9,4.9,1.0,3.9,3.4,2.2,2.9,0.6,0.1,1.8,2.3,14.3,15.9,0.616,0.261,0.425,3.5,6.3,5.0,17.9,1.1,0.4,13.3,23.4,2.0,0.5,2.5,0.2
16500000,PG,24,60,60,29.6,5.8,0.5,5.4,1.9,3.9,5.7,1.5,0.4,2.3,2.2,14.0,16.6,0.564,0.128,0.211,4.4,10.5,7.4,29.8,2.4,1.4,15.8,21.3,1.7,2.0,3.7,1.2
