Salary,Position,Age,GP,GS,3P,TRB,AST,STL,BLK,PF,PTS,PER,TS%,3PAr,FTr,ORB%,TRB%,STL%,BLK%,TOV%,USG%,WS,eficiencia,tier_time
17207142,2,28,61,61,1.9,3.1,6.049999999999999,1.5,0.4,2.8,11.5,12.1,0.538,0.568,0.196,2.6,5.3,2.3,1.0,17.9,17.8,3.7,22.549999999999997,3
17142857,4,28,82,70,1.8,3.6,3.9,0.7,0.9,2.2,12.4,15.4,0.604,0.516,0.253,2.5,6.9,1.1,2.8,10.1,17.7,7.4,21.5,3
17071120,4,26,74,74,1.8,5.3,6.049999999999999,1.5,0.3,1.4,20.5,17.0,0.54,0.293,0.144,2.1,7.9,2.0,0.6,10.2,24.4,4.7,33.64999999999999,2
17045454,0,24,59,58,0.0,8.4,0.9,0.9,1.1,2.7,7.4,18.9,0.652,0.0,0.436,14.6,19.2,1.7,4.824999999999999,10.9,10.1,6.5,18.700000000000003,3
16902000,3,28,42,1,1.5,1.6,1.1,0.3,0.0,1.8,6.4,7.8,0.534,0.81,0.135,1.3,5.9,1.0,0.0,10.0,17.9,0.5,9.4,2
16758621,4,29,60,8,1.9,2.9,1.8,0.8,0.3,2.1,17.0,17.1,0.612,0.404,0.39,1.7,6.3,1.6,1.0,10.8,26.0,3.5,22.8,3
16700000,2,24,48,15,1.0,2.2,2.9,0.6,0.1,2.3,14.3,15.9,0.616,0.261,0.425,3.5,5.0,1.1,0.4,13.3,23.4,2.5,20.1,1
16500000,2,24,60,60,0.5,3.9,5.7,1.5,0.4,2.2,14.0,16.6,0.564,0.128,0.211,4.4,7.4,2.4,1.4,15.8,21.3,3.7,25.499999999999996,1
16475454,1,25,66,66,3.0,8.4,1.9,0.6,0.6,2.1,23.099999999999998,22.1,0.64,0.446,0.348,6.3,13.6,0.9,1.4,8.8,26.6,8.2,34.6,1
16372093,1,33,65,65,1.7,4.0,1.8,0.6,0.3,2.1,11.2,10.5,0.534,0.479,0.135,1.8,7.9,1.1,1.0,7.6,17.6,2.0,17.900000000000002,3
15558035,4,26,81,27,2.9,3.5,1.5,0.8,0.1,1.3,12.7,10.9,0.531,0.702,0.069,1.8,7.3,1.5,0.4,8.5,21.1,1.4,18.6,3
15277778,3,23,74,73,1.8,4.6,2.1,1.0,0.3,3.3,13.7,11.3,0.513,0.468,0.297,5.9,8.1,1.6,0.9,8.5,19.8,2.9,21.7,1
15059712,4,32,56,2,1.2,2.4,2.0,0.5,0.2,1.0,6.8,10.0,0.493,0.495,0.129,1.7,7.7,1.4,1.1,11.1,18.9,0.4,11.9,1
15000000,2,26,80,22,1.5,2.5,5.2,1.0,0.1,0.4,10.3,16.0,0.546,0.459,0.141,1.5,5.5,2.0,0.3,8.9,17.7,5.7,19.1,1
14520730,2,34,27,0,0.7,1.5,1.7,0.3,0.2,0.7,5.6,10.1,0.463,0.396,0.075,2.6,6.5,1.0,1.4,11.8,23.6,0.0,9.3,3
14508929,4,24,75,75,2.7,3.3,2.9,1.1,0.3,2.4,15.2,15.2,0.617,0.589,0.151,2.2,6.5,1.7,1.0,9.5,19.9,4.9,22.8,2
14317459,0,27,67,17,1.6,7.3,1.8,0.4,1.1,2.5,16.6,20.6,0.624,0.363,0.365,5.8,16.4,0.9,3.7,11.9,26.4,4.8,27.200000000000003,2
14004703,4,29,76,76,1.8,2.7,2.4,1.5,0.5,1.9,10.8,11.5,0.598,0.505,0.198,1.7,5.0,2.3,1.3,11.1,14.1,4.5,17.900000000000002,2
13906976,0,34,78,78,1.7,6.7,1.3,0.5,1.1,2.6,15.9,18.4,0.63,0.405,0.211,7.2,11.4,0.7,4.824999999999999,9.8,19.3,8.0,25.5,3
